title,url,type_bill,year,period
PL 174-24 SERVICIO TRANSPORTE AÉREO PÚBLICO DOMESTICO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3316-proyecto-de-ley-174-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 173-24 COMPRA INFORMADO COMPRA PROTEGIDO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3315-proyecto-de-ley-173-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 172-24 SERVICIOS PÚBLICOS DOMICILIARIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3314-proyecto-de-ley-172-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 158-24 FOTOMULTAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3313-proyecto-de-ley-158-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 157-24 TRATADO ARMAS NUCLEARES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3312-proyecto-de-ley-157-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 156-24 CONVENCIÓN RECLUTAMIENTO MERCENARIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3311-proyecto-de-ley-156-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 155-24 TRANSPLANTE DE ORGANOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3310-proyecto-de-ley-155-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 154-24 PAISAJE CULTURAL CAFETERO MINERIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3309-proyecto-de-ley-154-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 153-24 FANDANGO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3308-proyecto-de-ley-153-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 152-24 EDUCACIÓN SERVICIO PÚBLICO ESENCIAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3307-proyecto-de-ley-152-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 151-24 MODIF CÓDIGO NAL DE TRANSITO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3306-proyecto-de-ley-151-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 150-24 FRACKING Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3305-proyecto-de-ley-150-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 149-24 AGUAS RESIDUALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3304-proyecto-de-ley-149-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 148-24 LICENCIA CALAMIDAD POR MUERTE ANIMAL DOMESTICO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3303-proyecto-de-ley-148-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 147-24 LEY PROTEGIENDO SUEÑOS Y SONRISAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3302-proyecto-de-ley-147-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 145-24 POR LA NIÑEZ Y ADOLESCENCIA LIBRE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3301-proyecto-de-ley-145-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 144-24 SEGURIDAD JURÍDICA PERSONAS MAYORES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3300-proyecto-de-ley-144-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 143-24 EFICIENCIA ENERGÉTICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3299-proyecto-de-ley-143-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 142-24 HUMEDALES CONVENCIÓN RAMSAR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3298-proyecto-de-ley-142-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 141-24 MODERNIZACIÓN PLANTAS DE PERSONAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3297-proyecto-de-ley-141-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 140-24 MOD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3296-proyecto-de-ley-140-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 139-24 AMPLIACIÓN CUPOS EDUCACIÓN SUPERIOR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3295-proyecto-de-ley-139-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 138-24 BANCO NAL PERFILES GENETICOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3294-proyecto-de-ley-138-de-2024,Proyecto de ley,2024-2025,2022 - 2026
